CustID,Name,Street,City,State,Telephone
1000,Malory Higgonet,8086 Moulton Lane,New York City,NY,917-642-3977
1001,Mario Hune,26 Utah Parkway,Pasadena,CA,626-208-1745
1002,Eachelle Doggerell,6 West Parkway,Houston,TX,713-999-4214
1003,Lelia McMechan,04890 Doe Crossing Lane,Milwaukee,WI,414-833-8154
1004,Garry Cowe,22 Blaine Place,Cincinnati,OH,513-679-1153
1005,Coleen Gecke,1057 Ridgeview Street,Raleigh,NC,919-415-8061
1006,Carolann Beddard,9562 Shopko Drive,Columbia,MO,573-553-7290
1007,Laurette Bourhill,85 Ryan Trail,Harrisburg,PA,717-194-2089
1008,Raimundo Dairton,950 Maple Pass,Sarasota,FL,941-783-6343
1009,Marley Rosen,2 Esker Avenue,Orlando,FL,407-211-5837
1010,Win Kubik,077 Onsgard Pass,Cumming,GA,706-300-6031
1011,Karine Vinker,3 Troy Way,Honolulu,HI,808-861-2734
1012,Kipper McMonies,11624 Eliot Plaza,Huntsville,TX,936-907-8701
1013,Marty Behnecken,77203 Macpherson Terrace,Gainesville,GA,678-696-3582
1014,Betsy Locksley,214 Transport Road,Shreveport,LA,318-733-6002
1015,Cary Coalburn,9 Thierer Drive,Colorado Springs,CO,719-292-6520
1016,Jerrie Betz,8 Lindbergh Terrace,Washington,DC,202-900-1606
1017,Gustaf Gueinn,251 Rockefeller Center,Topeka,KS,785-782-8735
1018,Ruben Sales,7 Ramsey Crossing,Virginia Beach,VA,757-617-1281
1019,Rebeka Dovidaitis,3438 Iowa Parkway,San Antonio,TX,210-725-5323
1020,Will Chomiszewski,49 Golden Leaf Road,Atlanta,GA,678-595-7348
1021,Filmore Denniston,56 Annamark Point,Sacramento,CA,916-455-2846
1022,Rafferty Billingham,29 Boyd Road,Chattanooga,TN,423-794-2041
1023,Inga Tonbye,5323 School Street,El Paso,TX,915-390-4318
1024,Lorie Terbruggen,94389 Texas Lane,Los Angeles,CA,323-725-8729
1025,Vail Rutgers,82 Sundown Park,Fairfax,VA,571-116-6341
1026,Van Pashbee,2 Warbler Place,Pocatello,ID,208-933-9590
1027,Kim Abramovicz,4701 Evergreen Alley,Louisville,KY,502-724-2560
1028,Kylynn Joice,1686 Brickson Park Crossing,Miami,FL,786-189-8640
1029,Mendel Baumadier,49 Kenwood Street,Kansas City,MO,816-161-6988
1030,Ash McLenahan,97 Eagle Crest Drive,Inglewood,CA,310-675-9673
1031,Mic Seleway,94359 Badeau Trail,New York City,NY,212-405-7496
1032,Kylynn Kendrick,31039 Erie Plaza,Atlanta,GA,678-371-1851
1033,Betteann Soles,588 Columbus Junction,Nashville,TN,615-402-6355
1034,Wallas Beldum,11424 Grover Junction,Philadelphia,PA,610-531-0408
1035,Giorgi Kinnane,77582 Gale Terrace,Birmingham,AL,205-593-4449
1036,Sidney Fallawe,3627 Pond Plaza,Honolulu,HI,808-473-9625
1037,Britta Sitwell,717 Meadow Valley Court,North Port,FL,941-186-2441
1038,Ashlee Santora,10747 Straubel Alley,Saint Louis,MO,314-768-4904
1039,Samara Cerith,75288 Sheridan Way,Boise,ID,208-634-2267
1040,Bernarr Klausen,01587 Manufacturers Junction,Seattle,WA,206-115-0044
1041,Kerwin Ditzel,23081 Melrose Park,Northridge,CA,818-853-0428
1042,Barth Craisford,20 Melby Park,New Orleans,LA,504-387-9570
1043,Kalinda Glennon,94053 Veith Court,Anderson,IN,765-459-1774
1044,Lemar Meco,6769 1st Trail,Macon,GA,478-813-8808
1045,Whitaker Gorry,79 Gale Hill,San Diego,CA,619-759-9993
1046,Vikki Tinsley,0770 Gateway Lane,Greeley,CO,970-845-2373
1047,Ninnette Robet,3296 Express Circle,Bakersfield,CA,805-929-4764
1048,Cherise Abramovitch,39 Brickson Park Junction,Jamaica,NY,212-822-3098
1049,Brina Clough,9465 Darwin Lane,Charlottesville,VA,434-225-0639
1050,Terri Colquyte,57 Daystar Center,Columbus,OH,614-397-3283
1051,Jeanna Beagin,007 Debs Parkway,Peoria,AZ,623-696-8611
1052,Elena Boat,072 Anzinger Parkway,Minneapolis,MN,612-335-8191
1053,Timothea Valentinuzzi,712 Maple Park,Nashville,TN,615-912-8452
1054,Jaclyn Ruggs,121 Fairfield Avenue,Virginia Beach,VA,757-845-8411
1055,Franky Fremantle,9 Melody Point,Alexandria,LA,318-502-8966
1056,Fayre Adenet,073 Arapahoe Circle,Louisville,KY,502-306-4264
1057,Peirce Gunda,7396 Sachs Crossing,Fresno,CA,559-695-7015
1058,Guillema Waddoups,06 Westend Center,New York City,NY,718-284-0756
1059,Wandis Teasell,91444 Sommers Center,Seminole,FL,941-887-9722
1060,Betsy Schowenburg,8605 Glendale Hill,New York City,NY,212-759-3649
1061,Gertrud Wykes,40 Hudson Avenue,Fort Lauderdale,FL,954-715-7911
1062,Aldric Santino,9 Shopko Parkway,Saint Louis,MO,314-755-1006
1063,Winne Firk,159 Hansons Court,Nashville,TN,615-157-3228
1064,Xavier Goodhall,48 Alpine Court,Raleigh,NC,919-904-4920
1065,Micky Couve,205 Karstens Park,Alpharetta,GA,404-385-7758
1066,Elmer Ziem,60 Little Fleur Way,Kansas City,MO,816-704-8510
1067,Marybeth Michin,3 Weeping Birch Park,Akron,OH,330-564-0049
1068,Chico Cherry Holme,6 Roxbury Trail,Harrisburg,PA,717-205-5074
1069,Almeria Lyttle,97 Moland Park,Denton,TX,817-372-9802
1070,Ursala McSaul,72509 Sachtjen Crossing,New York City,NY,212-865-4065
1071,Artus Anstead,1 North Lane,Kent,WA,360-704-4951
1072,Christa Blare,4 Messerschmidt Circle,Springfield,IL,217-139-7341
1073,Alley Sherme,529 Anniversary Point,Long Beach,CA,323-697-5251
1074,Neddy Heinrich,9 Anniversary Lane,Dallas,TX,214-831-3752
1075,Anselm Orteu,714 Vermont Pass,Peoria,IL,309-817-3442
1076,Sylvester Slarke,1651 Spenser Trail,Carlsbad,CA,760-342-2794
1077,Rana Rattry,0739 Monica Crossing,Metairie,LA,504-834-1561
1078,Eustace Ivasyushkin,3447 Graedel Terrace,Oklahoma City,OK,405-536-5790
1079,Hercule Barstock,49 Oriole Point,Ashburn,VA,571-345-5484
1080,Efren Purcer,7 Carey Alley,Knoxville,TN,865-454-7806
1081,Evita Marjoribanks,6 Karstens Way,San Diego,CA,619-932-8058
1082,Estrella Ruit,369 Vidon Plaza,Atlanta,GA,404-932-0080
